Frequency_Hz,C3,C4,O1,O2,Fp1,Fp2,Cz,Pz
3.400000e+01,2.743925e+00,2.508839e+00,2.953976e+00,3.727509e+00,6.446484e+00,3.999908e+00,3.009003e+00,2.369348e+00
3.425000e+01,1.850385e+00,1.814671e+00,2.129650e+00,3.090239e+00,4.504921e+00,1.990545e+00,1.807046e+00,1.766262e+00
3.450000e+01,2.729900e+00,2.001981e+00,2.233258e+00,3.911372e+00,5.681425e+00,2.671046e+00,2.785334e+00,2.829860e+00
3.475000e+01,3.392557e+00,2.144005e+00,2.510913e+00,3.912200e+00,7.006554e+00,2.310755e+00,2.563124e+00,2.572245e+00
3.500000e+01,3.375432e+00,1.606965e+00,1.619424e+00,2.514876e+00,6.846154e+00,2.327764e+00,1.836942e+00,1.682333e+00
3.525000e+01,2.352468e+00,1.501362e+00,2.235937e+00,2.531028e+00,6.207179e+00,2.054774e+00,1.964957e+00,2.185633e+00
3.550000e+01,3.141726e+00,1.734880e+00,2.377418e+00,2.915871e+00,6.788801e+00,2.056994e+00,2.574620e+00,2.578914e+00
3.575000e+01,3.789460e+00,2.326065e+00,2.011767e+00,3.483497e+00,7.522372e+00,2.548432e+00,2.776230e+00,2.427439e+00
3.600000e+01,3.372576e+00,1.986146e+00,1.474349e+00,2.057298e+00,6.937578e+00,2.344552e+00,2.512037e+00,1.847407e+00
3.625000e+01,2.274510e+00,1.582509e+00,1.496159e+00,2.147144e+00,6.054403e+00,3.267582e+00,1.747726e+00,1.579474e+00
3.650000e+01,2.677024e+00,1.705419e+00,1.992801e+00,2.194096e+00,6.904342e+00,3.104228e+00,1.889252e+00,2.116130e+00
3.675000e+01,2.710443e+00,2.010642e+00,1.825445e+00,2.573856e+00,7.729527e+00,2.359765e+00,2.601487e+00,2.333623e+00
3.700000e+01,1.886096e+00,1.799368e+00,1.216277e+00,2.070581e+00,7.405022e+00,1.922661e+00,2.303980e+00,2.005818e+00
3.725000e+01,1.547429e+00,1.899423e+00,9.807931e-01,1.804141e+00,5.361690e+00,2.369542e+00,2.019128e+00,1.602242e+00
3.750000e+01,1.796188e+00,2.377506e+00,1.025210e+00,2.107716e+00,4.894202e+00,2.067872e+00,2.108074e+00,1.691574e+00
3.775000e+01,2.239811e+00,2.246277e+00,1.296506e+00,2.852905e+00,5.132586e+00,1.788407e+00,2.101368e+00,2.185587e+00
3.800000e+01,2.869815e+00,2.035041e+00,1.280379e+00,2.368666e+00,5.429391e+00,2.108965e+00,2.651150e+00,2.106741e+00
3.825000e+01,2.932605e+00,2.168071e+00,1.112173e+00,1.726672e+00,4.844076e+00,2.493223e+00,2.911817e+00,2.046176e+00
3.850000e+01,1.696549e+00,1.569694e+00,9.067156e-01,1.662531e+00,4.251719e+00,1.820664e+00,1.517013e+00,1.313251e+00
3.875000e+01,1.944388e+00,2.001882e+00,1.447810e+00,2.294687e+00,5.127670e+00,2.217184e+00,2.366744e+00,2.151180e+00
3.900000e+01,2.148689e+00,2.085988e+00,1.266941e+00,1.729329e+00,4.559554e+00,2.526713e+00,2.521468e+00,2.094687e+00
3.925000e+01,2.828385e+00,1.908299e+00,1.438857e+00,1.900103e+00,4.884570e+00,2.229060e+00,2.472002e+00,2.309452e+00
3.950000e+01,2.209813e+00,2.283259e+00,1.372761e+00,2.002314e+00,5.533821e+00,2.729006e+00,2.125012e+00,2.486870e+00
3.975000e+01,1.851154e+00,2.442718e+00,1.076973e+00,1.448961e+00,3.997366e+00,2.911228e+00,1.990822e+00,2.097164e+00
4.000000e+01,1.763506e+00,2.601230e+00,7.805033e-01,1.353726e+00,4.443186e+00,2.647772e+00,2.175296e+00,1.817245e+00
4.025000e+01,2.441427e+00,2.212140e+00,7.935664e-01,1.542430e+00,4.611794e+00,2.391412e+00,2.461871e+00,1.992897e+00
4.050000e+01,2.705579e+00,1.715264e+00,1.015088e+00,1.204263e+00,4.794807e+00,2.065199e+00,2.277940e+00,1.959964e+00
4.075000e+01,2.590824e+00,1.821797e+00,1.179088e+00,1.174817e+00,4.557168e+00,1.945811e+00,2.504723e+00,2.261374e+00
4.100000e+01,2.532502e+00,2.076813e+00,1.058050e+00,1.434226e+00,3.263063e+00,1.902780e+00,2.544256e+00,2.302851e+00
4.125000e+01,1.938053e+00,1.860611e+00,6.803734e-01,1.195485e+00,3.451359e+00,1.774212e+00,2.297626e+00,1.860060e+00
4.150000e+01,1.802595e+00,1.448036e+00,4.534113e-01,8.718063e-01,4.907985e+00,2.184580e+00,1.583400e+00,1.288588e+00
4.175000e+01,2.216635e+00,1.740201e+00,6.435402e-01,1.033493e+00,4.519678e+00,1.861070e+00,1.707952e+00,1.709950e+00
4.200000e+01,1.936298e+00,1.683585e+00,5.394362e-01,6.462131e-01,2.546620e+00,1.710948e+00,1.850484e+00,1.431821e+00
4.225000e+01,1.493643e+00,1.394754e+00,6.038352e-01,1.065193e+00,2.548914e+00,1.547066e+00,1.636932e+00,1.427304e+00
4.250000e+01,1.451006e+00,1.358423e+00,6.687201e-01,1.127154e+00,2.735240e+00,1.568728e+00,1.316778e+00,1.442437e+00
4.275000e+01,1.660645e+00,1.457957e+00,5.155551e-01,7.602975e-01,4.153113e+00,1.789247e+00,1.574277e+00,1.485600e+00
4.300000e+01,1.931863e+00,1.820363e+00,3.557260e-01,5.921888e-01,3.785066e+00,1.882717e+00,1.715266e+00,1.447338e+00
4.325000e+01,1.842551e+00,1.783239e+00,3.643604e-01,5.875258e-01,2.575458e+00,1.920539e+00,1.731068e+00,1.360301e+00
4.350000e+01,1.923791e+00,1.705392e+00,4.769392e-01,7.993058e-01,2.250489e+00,2.009818e+00,1.590805e+00,1.609556e+00
4.375000e+01,2.631302e+00,2.127970e+00,6.437577e-01,9.587413e-01,4.180157e+00,2.101943e+00,1.858807e+00,1.933982e+00
4.400000e+01,1.586846e+00,1.437150e+00,4.555023e-01,6.379878e-01,4.105809e+00,2.044262e+00,1.500848e+00,1.149619e+00
4.425000e+01,1.286649e+00,1.652797e+00,3.377885e-01,4.813960e-01,3.138037e+00,1.656183e+00,1.489207e+00,1.137938e+00
4.450000e+01,1.373771e+00,1.293543e+00,3.857467e-01,5.950359e-01,2.639666e+00,1.397456e+00,1.280070e+00,1.212717e+00
4.475000e+01,1.743888e+00,1.481574e+00,4.769566e-01,7.145401e-01,3.708840e+00,2.160798e+00,1.511164e+00,1.351220e+00
4.500000e+01,2.070460e+00,1.894157e+00,3.801867e-01,6.277282e-01,3.847044e+00,2.170581e+00,1.840676e+00,1.531541e+00
4.525000e+01,2.097526e+00,2.071078e+00,4.032999e-01,5.042038e-01,3.166763e+00,1.887615e+00,1.867265e+00,1.686946e+00
4.550000e+01,1.875131e+00,1.682951e+00,3.408841e-01,5.508645e-01,1.879892e+00,1.438032e+00,1.428687e+00,1.356498e+00
4.575000e+01,1.667073e+00,1.667774e+00,3.727007e-01,6.533384e-01,2.262313e+00,1.188312e+00,1.437732e+00,1.455275e+00
4.600000e+01,1.846796e+00,1.306535e+00,3.118955e-01,4.286264e-01,3.426871e+00,1.774551e+00,1.433896e+00,1.492233e+00
4.625000e+01,1.430614e+00,1.237882e+00,2.500082e-01,3.879575e-01,3.232644e+00,1.537009e+00,1.290196e+00,1.003587e+00
4.650000e+01,1.734852e+00,1.517736e+00,3.462337e-01,5.034523e-01,3.431330e+00,1.043921e+00,1.711824e+00,1.468557e+00
4.675000e+01,2.079126e+00,1.791361e+00,3.493668e-01,5.492964e-01,3.180465e+00,9.817413e-01,2.046638e+00,1.697694e+00
4.700000e+01,1.153613e+00,1.525597e+00,2.202737e-01,4.468292e-01,3.311760e+00,1.067860e+00,1.330758e+00,1.070886e+00
4.725000e+01,1.378308e+00,1.162828e+00,2.327027e-01,4.095891e-01,3.005510e+00,1.185509e+00,1.056528e+00,9.779580e-01
4.750000e+01,1.297445e+00,1.091539e+00,2.165245e-01,4.103674e-01,2.062955e+00,1.344304e+00,1.114889e+00,9.381513e-01
